Word,Count
we've,16
ghosts,16
kids,20
"strong,",2
trembling,2
couldn't,4
handle,2
hot,2
rising,4
(rising),2
"running,",2
(down),2
"ready,",18
(send,4
lover),4
(treat,4
better),4
heaven,6
oceans,8
soft,2
touch,4
cruel,12
wanna,16
teach,2
gravity,2
2x:,6
miss,29
illuminates,6
"in,",7
"tight,",6
moves,2
towards,2
across,2
brushing,2
groove,2
delicate,2
ego,2
great,3
unknown,2
setting,2
tone,2
living,2
"harder,",12
(i,10
7x,2
move,3
dream,2
go?,4
movie,12
sound,4
song,12
"god,",6
reminds,6
photograph,6
realized,6
sad,6
restless,6
fears,4
moved,4
overseas,2
admit,2
takes,2
part,5
keeps,9
holding,4
hasn't,2
care?,2
mad,2
reckless,6
wanted,8
desperate,2
"saw,",2
sleeping,7
remedy,10
"be,",10
wide,2
swim,2
"whatever,",2
be...,2
knees?,2
being,4
"honey,",2
through?,2
wilderness,4
keeper,4
gently,12
pretend,14
water,24
bridge,22
for?,2
from?,2
asked,2
much?,2
tells,2
'bout,2
"valley,",2
shallow,2
death,2
fake,2
lonely,2
grew,8
lea,22
"water,",2
something's,2
reeds,4
growing,4
fingertips,4
"roots,",8
veins,8
stain,8
use,14
"lea,",32
probably,2
straight,6
consider,2
"apology,",2
advance,2
lea-lea-lea-lea,8
ashamed,2
"ending,",2
defeated,6
ah-yeah-yeah-yeah-yeah-yeah-yeah,6
mustn't,2
carry,2
fine,2
longer,2
brave,3
asking,4
survive,5
i-i-i-i-i,2
learning,5
decide,4
inevitable,2
earn,2
stripes,2
they've,6
reflection,2
flashing,4
"air,",4
friends,5
"mother,",4
party,4
thrown,4
ago,6
streets,2
eye,2
joke,2
memory,8
recognise,2
became,2
they'd,2
"before,",2
coming,4
having,3
"look,",5
tomorrow,4
ask,6
friend,6
lovers,6
matters,6
honesty,2
speak,5
since,2
mattered,2
to?,2
lesson,2
vicious,2
forgiveness,2
loving,5
adore,2
means,2
law,2
funny,2
wasn't,4
heading,4
eternally,4
sweetest,16
devotion,14
hit,6
frozen,6
clarity,2
along,2
darkness,3
madness,2
scope,2
everywhere,2
x4:,2
platter,4
lied,4
faked,4
note,6
wrote?,6
hid,6
seam,6
write,4
lump,6
throat,6
"cold,",2
thrill?,2
"thinking,",2
kill,2
die,5
"write,",2
unless,4
be?,4
opened,4
front,6
('til,6
morning),6
(through,6
night),6
in),6
(won't,6
baby),2
(someone,6
rules,2
read,3
lies,4
(like,4
deeper,2
above,8
beyond,10
drives,8
"crazy,",8
"is,",2
depend,2
does,2
daydreaming,2
"feel,",2
mark,2
fade,2
ignited,2
"spark,",2
fires,2
ready?,2
peak,2
arc,2
universe,2
"part,",2
sha,8
la,136
(sha,20
la),20
nights,4
"(cheat,",4
cheat),4
"never,",4
matter,14
"nobody,",2
fish,2
ocean,4
legs,2
apes,2
climbed,2
trees,2
tall,9
talking,2
rolled,2
motion,2
filled,6
fear,6
bunch,6
either,8
"gold,",8
grey,2
staring,2
beacons,2
vision,2
validation,2
most,2
isn't,2
education,1
bullshit,1
conversation,1
signs?,1
bore,2
"details,",2
let's,8
ease,2
mr.,2
fast,4
affirmation,1
ladies,1
babies,1
ooh...,1
absence,1
security,2
stupid,1
cupid,1
"miss,",3
i...,1
voices,1
closely,1
patronize,2
somethin',2
power,2
yeah-hh,1
till,1
shoulders,1
umbrella,1
junk,1
sinks,1
autumn,1
rings,1
limb,1
sing,1
volcano,6
erupting,3
disease,3
"aching,",3
shake,3
sleep,3
callin',1
winner,1
coke,1
florence,1
tonight,1
draggin',1
mirrors,1
lava,1
hypnotize,1
turned,7
fifteen,1
ehole,1
minutes,1
girlfriends,2
grandsons,1
alright,1
spaceships,1
"door,",1
cries,1
"there,",6
upright,1
we'll,3
"devil,",1
seizing,1
"want,",1
beginning,1
created,1
pluck,2
"wings,",4
cover,4
spread,2
pray,3
"alouette,",14
"-uette,",12
-uette,12
déployer,4
les,6
ailés,6
plumerai,2
comfort,1
"that,",1
raise,1
thread,1
hanging,1
ten,1
drowned,1
dreamt,1
overdue,1
owe,1
swept,1
stolen,1
crumbles,7
skyfall,6
poles,1
"number,",1
(let,5
fall),4
(when,4
crumbles),4
(we,4
tall),5
x2:,1
keeping,1
harm,1
oh-s...,1
shadow,1
dawning,2
emptiness,2
drown,2
waves,3
beneath,2
crashing,2
strength,1
stronger,1
